Time, Marker
1690471.469200, CalValue:0.68997
1690471.495568, CalValue:0.62677
1690471.522052, CalValue:0.58345
1690471.548233, CalValue:0.68542
1690471.575554, CalValue:0.79687
1690471.601899, CalValue:0.80186
1690471.629014, CalValue:0.78456
1690471.655520, CalValue:0.76737
1690471.682189, CalValue:0.77302
1690471.709459, CalValue:0.86162
1690471.735757, CalValue:0.89457
1690471.762096, CalValue:0.92101
1690471.789385, CalValue:0.79341
1690471.815531, CalValue:0.77148
1690471.842619, CalValue:0.70063
1690471.868663, CalValue:0.84162
1690471.894710, CalValue:0.86703
1690471.922120, CalValue:0.88001
1690471.948774, CalValue:0.84818
1690471.975919, CalValue:0.9604
1690472.002118, CalValue:0.93566
1690472.028508, CalValue:1.0097
1690472.055440, CalValue:1.1433
1690472.082336, CalValue:1.1333
1690472.109506, CalValue:1.1296
1690472.135786, CalValue:1.0998
1690472.161933, CalValue:1.0937
1690472.189338, CalValue:1.3122
1690472.215406, CalValue:1.1255
1690472.242940, CalValue:1.1544
1690472.269117, CalValue:1.1197
1690472.295434, CalValue:1.117
1690472.321929, CalValue:1.1826
1690472.348840, CalValue:1.1117
1690472.379479, CalValue:1.1995
1690472.406190, CalValue:1.1821
1690472.432398, CalValue:1.1837
1690472.460735, CalValue:1.181
1690472.494888, CalValue:0.98273
1690472.526436, CalValue:0.93527
1690472.556076, CalValue:0.95671
1690472.584153, CalValue:0.99345
1690472.610840, CalValue:1.0354
1690472.637092, CalValue:0.97295
1690472.664672, CalValue:0.96329
1690472.697443, CalValue:1.0939
1690472.726632, CalValue:1.0643
1690472.759576, CalValue:1.0491
1690472.789251, CalValue:1.1037
1690472.815510, CalValue:1.159
1690472.843662, CalValue:1.105
1690472.871991, CalValue:1.0715
1690472.898181, CalValue:1.1181
1690472.926284, CalValue:1.1332
1690472.953048, CalValue:1.178
1690472.979375, CalValue:1.164
1690473.006190, CalValue:1.1631
1690473.035849, CalValue:1.319
1690473.063146, CalValue:1.3468
1690473.093550, CalValue:1.3341
1690473.122695, CalValue:1.3486
1690473.149282, CalValue:1.4043
1690473.176555, CalValue:1.3993
1690473.202723, CalValue:1.4094
1690473.229027, CalValue:1.297
1690473.256283, CalValue:1.297
1690473.283160, CalValue:1.368
1690473.309964, CalValue:1.4084
1690473.336166, CalValue:1.5102
1690473.362159, CalValue:1.4217
1690473.393374, CalValue:1.5574
1690473.420875, CalValue:1.5541
1690473.447350, CalValue:1.554
1690473.474614, CalValue:1.5601
1690473.500912, CalValue:1.5
1690473.527425, CalValue:1.4717
1690473.554933, CalValue:1.4095
1690473.582023, CalValue:1.5094
1690473.609643, CalValue:1.4976
1690473.635922, CalValue:1.3355
1690473.662229, CalValue:1.3391
1690473.689292, CalValue:1.325
1690473.715672, CalValue:1.211
1690473.742903, CalValue:1.3101
1690473.769233, CalValue:1.2806
1690473.795330, CalValue:1.2635
1690473.821799, CalValue:1.3375
1690473.847960, CalValue:1.2982
1690473.875976, CalValue:1.2643
1690473.902268, CalValue:1.252
1690473.928486, CalValue:1.2762
1690473.955396, CalValue:1.1992
1690473.982188, CalValue:1.1403
1690474.010013, CalValue:1.0814
1690474.036153, CalValue:1.0363
1690474.062383, CalValue:1.0277
1690474.089289, CalValue:0.89243
1690474.115697, CalValue:0.86999
1690474.142725, CalValue:0.88317
1690474.168952, CalValue:0.86265
1690474.195290, CalValue:0.93904
1690474.221626, CalValue:1.0111
1690474.248073, CalValue:0.87978
1690474.275486, CalValue:0.88656
1690474.301842, CalValue:0.92212
1690474.328187, CalValue:0.89953
1690474.355049, CalValue:0.91874
1690474.382095, CalValue:0.92828
1690474.409355, CalValue:0.94238
1690474.435620, CalValue:0.94769
1690474.461988, CalValue:0.90104
1690474.489749, CalValue:0.96355
1690474.515876, CalValue:0.94559
1690474.542804, CalValue:1.0998
1690474.569089, CalValue:1.0511
1690474.595341, CalValue:1.0568
1690474.622269, CalValue:1.2077
1690474.648869, CalValue:1.1875
1690474.676549, CalValue:1.1959
1690474.702817, CalValue:1.2625
1690474.729256, CalValue:1.1956
1690474.755664, CalValue:1.243
1690474.782116, CalValue:1.2692
1690474.809499, CalValue:1.2852
1690474.836184, CalValue:1.295
1690474.862496, CalValue:1.2443
1690474.889613, CalValue:1.291
1690474.915826, CalValue:1.274
1690474.942480, CalValue:1.2669
1690474.968597, CalValue:1.3454
1690474.997977, CalValue:1.3974
1690475.026918, CalValue:1.4748
1690475.056613, CalValue:1.4189
1690475.084392, CalValue:1.4175
1690475.111086, CalValue:1.3735
1690475.137384, CalValue:1.4254
1690475.164640, CalValue:1.4247
1690475.194643, CalValue:1.4164
1690475.222997, CalValue:1.324
1690475.249376, CalValue:1.2837
1690475.277535, CalValue:1.2512
1690475.303706, CalValue:1.3683
1690475.330018, CalValue:1.3614
1690475.359981, CalValue:1.3767
1690475.394312, CalValue:1.3653
1690475.423156, CalValue:1.3522
1690475.449995, CalValue:1.4069
1690475.476884, CalValue:1.2778
1690475.503144, CalValue:1.2761
1690475.529697, CalValue:1.2579
1690475.562253, CalValue:1.2376
1690475.597515, CalValue:1.2774
1690475.626557, CalValue:1.3356
1690475.656738, CalValue:1.3174
1690475.683512, CalValue:1.2856
1690475.711295, CalValue:1.2269
1690475.737721, CalValue:1.1797
1690475.768171, CalValue:1.2956
1690475.798081, CalValue:1.3382
